tract_geoid,tract_name,county_fips,total_population_2024,total_population_moe_2024,land_area_square_meters,water_area_square_meters
06001442700,Census Tract 4427,001,3068,553,1234016,0
06001442800,Census Tract 4428,001,3041,384,1278646,0
06037204920,Census Tract 2049.20,037,2274,358,909972,0
06037205110,Census Tract 2051.10,037,3501,438,286962,0
06037205120,Census Tract 2051.20,037,3252,673,1466242,0
06037206010,Census Tract 2060.10,037,3392,593,1418137,20551
06037206020,Census Tract 2060.20,037,7629,304,843243,30290
06037206050,Census Tract 2060.50,037,2340,545,1643425,141255
06037111402,Census Tract 1114.02,037,5888,968,971230,0
06037111303,Census Tract 1113.03,037,4424,572,1563907,0
06037104321,Census Tract 1043.21,037,2749,583,519857,0
06037104322,Census Tract 1043.22,037,1778,272,692312,0
06037108203,Census Tract 1082.03,037,3074,329,1372380,0
06037320101,Census Tract 3201.01,037,3385,495,680504,0
06037920121,Census Tract 9201.21,037,11359,985,12198712,2149
06037231901,Census Tract 2319.01,037,2820,1019,244763,0
06037232402,Census Tract 2324.02,037,3155,401,543260,0
06037135204,Census Tract 1352.04,037,4915,764,1857531,0
06037460101,Census Tract 4601.01,037,5204,865,5682185,16289
06037132302,Census Tract 1323.02,037,2904,753,647601,0
06037135115,Census Tract 1351.15,037,4309,528,331039,2486
06037132301,Census Tract 1323.01,037,3604,634,631000,0
06037134907,Census Tract 1349.07,037,4209,1011,391494,0
06037119003,Census Tract 1190.03,037,3417,678,842110,9604
06037111401,Census Tract 1114.01,037,2287,344,840800,0
06037103401,Census Tract 1034.01,037,2522,410,1401638,0
06037207400,Census Tract 2074,037,2598,502,862957,6458
06001442900,Census Tract 4429,001,7783,949,2066523,0
06037192410,Census Tract 1924.10,037,4334,748,683899,0
06037192510,Census Tract 1925.10,037,4005,693,340747,0
06037192520,Census Tract 1925.20,037,4836,538,307803,0
06037192610,Census Tract 1926.10,037,4070,550,415408,0
06037192700,Census Tract 1927,037,3018,554,531211,0
06037194500,Census Tract 1945,037,2120,232,685341,0
06037195100,Census Tract 1951,037,4871,565,1566301,329063
06037195300,Census Tract 1953,037,2990,409,580349,0
06095252204,Census Tract 2522.04,095,5874,902,52839593,851127
06095252203,Census Tract 2522.03,095,4299,379,39811222,78902
06095253501,Census Tract 2535.01,095,6523,1082,367197240,17247936
06095252205,Census Tract 2522.05,095,8310,813,35360079,444610
06095252206,Census Tract 2522.06,095,5955,1148,18384642,50178
06095253207,Census Tract 2532.07,095,2606,543,4136566,12208
06095253502,Census Tract 2535.02,095,4953,548,209950826,11633503
06095253208,Census Tract 2532.08,095,4574,860,1568882,0
06001443001,Census Tract 4430.01,001,2802,343,768730,0
06001443002,Census Tract 4430.02,001,6487,734,1580326,0
06001443102,Census Tract 4431.02,001,4593,496,2367415,0
06001443301,Census Tract 4433.01,001,4053,483,1556745,0
06037137501,Census Tract 1375.01,037,5304,788,2514414,0
06037137502,Census Tract 1375.02,037,4580,573,2090222,0
06001444100,Census Tract 4441,001,6846,845,2955571,60526
06001444200,Census Tract 4442,001,6185,730,2069720,0
06037195500,Census Tract 1955,037,5111,744,1215212,0
06037195600,Census Tract 1956,037,2868,508,527583,0
06037195710,Census Tract 1957.10,037,3971,440,483410,0
06037195720,Census Tract 1957.20,037,1745,219,288980,0
06001444400,Census Tract 4444,001,4767,737,1027755,0
06037195802,Census Tract 1958.02,037,2864,380,402524,0
06001444500,Census Tract 4445,001,6644,776,1959283,0
06001450200,Census Tract 4502,001,5916,636,1612601,0
06001450300,Census Tract 4503,001,4988,547,3133641,0
06105000500,Census Tract 5,105,4452,710,3706834372,4577022
06037137504,Census Tract 1375.04,037,1858,306,3837562,0
06037138000,Census Tract 1380,037,4499,519,4472196,0
06037139200,Census Tract 1392,037,5616,693,1152028,0
06087120901,Census Tract 1209.01,087,3575,511,18372491,0
06087120902,Census Tract 1209.02,087,4718,511,6474889,0
06087121601,Census Tract 1216.01,087,3464,560,1171521,1165471
06087122401,Census Tract 1224.01,087,2430,407,69996988,52281
06087121602,Census Tract 1216.02,087,2529,361,882923,784189
06087110503,Census Tract 1105.03,087,3189,365,958946,0
06087110506,Census Tract 1105.06,087,3265,456,798198,0
06087110202,Census Tract 1102.02,087,3969,764,2351625,0
06087110505,Census Tract 1105.05,087,5016,784,1042808,0
06087110201,Census Tract 1102.01,087,3176,974,609672,0
06087110302,Census Tract 1103.02,087,3209,548,442380,0
06087110301,Census Tract 1103.01,087,4096,763,742486,0
06087110401,Census Tract 1104.01,087,3385,563,3940445,0
06087121701,Census Tract 1217.01,087,4409,418,1213469,0
06087121702,Census Tract 1217.02,087,3406,585,1424532,0
06087110102,Census Tract 1101.02,087,4333,851,1090835,0
06087110601,Census Tract 1106.01,087,4692,851,1730342,0
06087122205,Census Tract 1222.05,087,3103,452,2677267,2066146
06087100801,Census Tract 1008.01,087,3988,1048,1132453,0
06087101002,Census Tract 1010.02,087,4366,758,1215116,834526
06087121802,Census Tract 1218.02,087,2273,349,988226,0
06067002300,Census Tract 23,067,3306,397,1213095,0
06067002400,Census Tract 24,067,4878,799,3224718,0
06037143200,Census Tract 1432,037,4367,655,957092,0
06037201301,Census Tract 2013.01,037,3215,745,866189,0
06037201302,Census Tract 2013.02,037,4108,546,991726,0
06037201401,Census Tract 2014.01,037,4131,644,1279501,28686
06037201402,Census Tract 2014.02,037,4143,698,1941232,0
06037236001,Census Tract 2360.01,037,4362,619,2134409,68544
06037236102,Census Tract 2361.02,037,3638,778,498051,0
06037409100,Census Tract 4091,037,5449,629,1557420,0
06037234301,Census Tract 2343.01,037,1984,435,503984,0
06037231601,Census Tract 2316.01,037,2299,580,319388,0
06037231603,Census Tract 2316.03,037,3067,482,320263,0
06037234001,Census Tract 2340.01,037,2522,544,677242,0
06037236205,Census Tract 2362.05,037,2979,357,166993,0
06037206051,Census Tract 2060.51,037,1751,401,3681803,48976
06037231301,Census Tract 2313.01,037,2920,489,233928,0
06037231302,Census Tract 2313.02,037,2933,649,423524,0
06037532607,Census Tract 5326.07,037,5048,609,1103721,902
06037275604,Census Tract 2756.04,037,9869,1161,1550434,0
06037530007,Census Tract 5300.07,037,6369,671,4850739,5565
06037271804,Census Tract 2718.04,037,2402,306,348810,0
06037551002,Census Tract 5510.02,037,4350,765,971988,0
06037502700,Census Tract 5027,037,7159,652,6945743,0
06037502901,Census Tract 5029.01,037,5432,706,1247226,0
06037550801,Census Tract 5508.01,037,5120,883,1587080,0
