coc_number,blind_guessed_pit_total_2024
CA-500,9217
CA-501,7864
CA-502,9138
CA-503,6412
CA-504,2467
CA-505,2579
CA-506,2284
CA-507,1063
CA-508,1948
CA-509,823
CA-510,1847
CA-511,2762
CA-512,1769
CA-513,1641
CA-514,4386
CA-515,927
CA-516,2873
CA-517,681
CA-518,1436
CA-519,2074
CA-520,934
CA-521,772
CA-522,1543
CA-523,628
CA-524,879
CA-525,718
CA-526,946
CA-527,431
CA-529,781
CA-530,476
CA-531,518
CA-600,71483
CA-601,10726
CA-602,6841
CA-603,1962
CA-604,2437
CA-606,3618
CA-607,527
CA-608,4317
CA-609,4876
CA-611,2264
CA-612,287
CA-613,1168
CA-614,1579
