coc_number,coc_name,coc_category,total_population_2024,pit_total_2024,homeless_per_10000,blind_guessed_pit_total_2024,percent_error
CA-500,San Jose/Santa Clara City & County CoC,Major City,1902047,10394,54.6,9217,-11.3
CA-501,San Francisco CoC,Major City,830281,8323,100.2,7864,-5.5
CA-502,"Oakland, Berkeley/Alameda County CoC",Major City,1649473,9450,57.3,9138,-3.3
CA-503,Sacramento City & County CoC,Major City,1594006,6615,41.5,6412,-3.1
CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",Urban,485040,2522,52.0,2467,-2.2
CA-505,Contra Costa County CoC,Suburban,1165012,2843,24.4,2579,-9.3
CA-506,"Salinas/Monterey, San Benito Counties CoC",Rural,504903,3057,60.5,2284,-25.3
CA-507,Marin County CoC,Suburban,257969,1090,42.3,1063,-2.5
CA-508,Watsonville/Santa Cruz City & County CoC,Suburban,264926,1850,69.8,1948,5.3
CA-509,Mendocino County CoC,Rural,90244,774,85.8,823,6.3
CA-510,"Turlock, Modesto/Stanislaus County CoC",Suburban,553990,2052,37.0,1847,-10.0
CA-511,Stockton/San Joaquin County CoC,Suburban,797334,4732,59.3,2762,-41.6
CA-512,Daly City/San Mateo County CoC,Suburban,742294,2130,28.7,1769,-16.9
CA-513,"Visalia/Kings, Tulare Counties CoC",Suburban,631991,1672,26.5,1641,-1.9
CA-514,Fresno City & County/Madera County CoC,Major City,1177665,4305,36.6,4386,1.9
CA-515,"Roseville, Rocklin/Placer County CoC",Suburban,419156,702,16.7,927,32.1
CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Rural,313134,2404,76.8,2873,19.5
CA-517,Napa City & County CoC,Urban,134869,414,30.7,681,64.5
CA-518,Vallejo/Solano County CoC,Suburban,451918,1725,38.2,1436,-16.8
CA-519,"Chico, Paradise/Butte County CoC",Rural,207929,1381,66.4,2074,50.2
CA-520,Merced City & County CoC,Suburban,290201,837,28.8,934,11.6
CA-521,"Davis, Woodland/Yolo County CoC",Suburban,220564,942,42.7,772,-18.0
CA-522,Humboldt County CoC,Rural,134541,1573,116.9,1543,-1.9
CA-523,"Colusa, Glenn, Trinity Counties CoC",Rural,66338,248,37.4,628,153.2
CA-524,Yuba City & County/Sutter County CoC,Suburban,183364,928,50.6,879,-5.3
CA-525,El Dorado County CoC,Suburban,192662,284,14.7,718,152.8
CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Rural,159256,719,45.1,946,31.6
CA-527,Tehama County CoC,Rural,65167,324,49.7,431,33.0
CA-529,Lake County CoC,Rural,68152,604,88.6,781,29.3
CA-530,"Alpine, Inyo, Mono Counties CoC",Rural,33503,106,31.6,476,349.1
CA-531,Nevada County CoC,Rural,102481,516,50.4,518,0.4
CA-600,Los Angeles City & County CoC,Major City,9021778,71201,78.9,71483,0.4
CA-601,San Diego City and County CoC,Major City,3288774,10605,32.2,10726,1.1
CA-602,"Santa Ana, Anaheim/Orange County CoC",Suburban,3165820,7322,23.1,6841,-6.6
CA-603,Santa Maria/Santa Barbara County CoC,Suburban,443701,2119,47.8,1962,-7.4
CA-604,Bakersfield/Kern County CoC,Major City,915075,2669,29.2,2437,-8.7
CA-606,Long Beach CoC,Major City,457650,3376,73.8,3618,7.2
CA-607,Pasadena CoC,Urban,138596,556,40.1,527,-5.2
CA-608,Riverside City & County CoC,Suburban,2478600,4249,17.1,4317,1.6
CA-609,San Bernardino City & County CoC,Suburban,2197104,4255,19.4,4876,14.6
CA-611,"Oxnard, San Buenaventura/Ventura County CoC",Urban,837469,2358,28.2,2264,-4.0
CA-612,Glendale CoC,Urban,190643,175,9.2,287,64.0
CA-613,Imperial County CoC,Suburban,180202,1508,83.7,1168,-22.5
CA-614,San Luis Obispo County CoC,Suburban,281555,1175,41.7,1579,34.4
