coc_number,coc_name,coc_category,total_population_2024,pit_total_2024,homeless_per_10000,blind_guessed_pit_total_2024,percent_error,article_count,absolute_percent_error,log1p_absolute_percent_error,log1p_article_count,log_population,log_pit_total
CA-500,San Jose/Santa Clara City & County CoC,Major City,1902047,10394,54.6,9217,-11.3,492,11.3,2.509599262378372,6.20050917404269,14.45844123261287,9.248983995568388
CA-501,San Francisco CoC,Major City,830281,8323,100.2,7864,-5.5,4261,5.5,1.8718021769015913,8.357493812658563,13.629519476693101,9.026778045746095
CA-502,"Oakland, Berkeley/Alameda County CoC",Major City,1649473,9450,57.3,9138,-3.3,1239,3.3,1.4586150226995167,7.122866658599083,14.315966400920262,9.153770020487789
CA-503,Sacramento City & County CoC,Major City,1594006,6615,41.5,6412,-3.1,2437,3.1,1.410986973710262,7.798933310041217,14.281760902440647,8.797095076549056
CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",Urban,485040,2522,52.0,2467,-2.2,163,2.2,1.1631508098056809,5.099866427824199,13.091986640745612,7.8328075165248645
CA-505,Contra Costa County CoC,Suburban,1165012,2843,24.4,2579,-9.3,156,9.3,2.33214389523559,5.056245805348308,13.968241945358074,7.952615111651
CA-506,"Salinas/Monterey, San Benito Counties CoC",Rural,504903,3057,60.5,2284,-25.3,162,25.3,3.269568939183719,5.093750200806762,13.132121610600002,8.025189321890835
CA-507,Marin County CoC,Suburban,257969,1090,42.3,1063,-2.5,129,2.5,1.252762968495368,4.867534450455582,12.4605947016458,6.993932975223189
CA-508,Watsonville/Santa Cruz City & County CoC,Suburban,264926,1850,69.8,1948,5.3,63,5.3,1.840549633397487,4.1588830833596715,12.487205820689116,7.52294091807237
CA-509,Mendocino County CoC,Rural,90244,774,85.8,823,6.3,10,6.3,1.9878743481543455,2.3978952727983707,11.410272391990642,6.651571873589727
CA-510,"Turlock, Modesto/Stanislaus County CoC",Suburban,553990,2052,37.0,1847,-10.0,91,10.0,2.3978952727983707,4.5217885770490405,13.224901915024992,7.62657020629066
CA-511,Stockton/San Joaquin County CoC,Suburban,797334,4732,59.3,2762,-41.6,265,41.6,3.751854253275325,5.583496308781699,13.589028941504601,8.462103225098277
CA-512,Daly City/San Mateo County CoC,Suburban,742294,2130,28.7,1769,-16.9,251,16.9,2.884800712846709,5.529429087511423,13.517500670087655,7.6638772587034705
CA-513,"Visalia/Kings, Tulare Counties CoC",Suburban,631991,1672,26.5,1641,-1.9,123,1.9,1.0647107369924282,4.820281565605037,13.356630432521268,7.421775793644647
CA-514,Fresno City & County/Madera County CoC,Major City,1177665,4305,36.6,4386,1.9,377,1.9,1.0647107369924282,5.934894195619588,13.979044222444319,8.367532416861831
CA-515,"Roseville, Rocklin/Placer County CoC",Suburban,419156,702,16.7,927,32.1,80,32.1,3.4995332823830174,4.394449154672439,12.94599844464803,6.553933404025811
CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Rural,313134,2404,76.8,2873,19.5,100,19.5,3.0204248861443626,4.61512051684126,12.654386492923178,7.784889295655098
CA-517,Napa City & County CoC,Urban,134869,414,30.7,681,64.5,54,64.5,4.182050142641207,4.007333185232471,11.812059215936074,6.025865973825314
CA-518,Vallejo/Solano County CoC,Suburban,451918,1725,38.2,1436,-16.8,60,16.8,2.8791984572980396,4.110873864173311,13.021256026427304,7.45298232946546
CA-519,"Chico, Paradise/Butte County CoC",Rural,207929,1381,66.4,2074,50.2,150,50.2,3.9357395320454622,5.017279836814924,12.244951954257749,7.2305631534092925
CA-520,Merced City & County CoC,Suburban,290201,837,28.8,934,11.6,8,11.6,2.533696813957432,2.1972245773362196,12.578329065325667,6.729824070489475
CA-521,"Davis, Woodland/Yolo County CoC",Suburban,220564,942,42.7,772,-18.0,56,18.0,2.9444389791664403,4.04305126783455,12.303943181187927,6.848005274576363
CA-522,Humboldt County CoC,Rural,134541,1573,116.9,1543,-1.9,99,1.9,1.0647107369924282,4.605170185988092,11.809624264285734,7.360739903058278
CA-523,"Colusa, Glenn, Trinity Counties CoC",Rural,66338,248,37.4,628,153.2,59,153.2,5.038250461129229,4.0943445622221,11.102518164322746,5.5134287461649825
CA-524,Yuba City & County/Sutter County CoC,Suburban,183364,928,50.6,879,-5.3,75,5.3,1.840549633397487,4.330733340286331,12.119228527279294,6.833031732786201
CA-525,El Dorado County CoC,Suburban,192662,284,14.7,718,152.8,39,152.8,5.035653057071544,3.6888794541139363,12.168692637239774,5.648974238161206
CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Rural,159256,719,45.1,946,31.6,42,31.6,3.484312288372662,3.7612001156935624,11.97826824933377,6.577861357721047
CA-527,Tehama County CoC,Rural,65167,324,49.7,431,33.0,30,33.0,3.5263605246161616,3.4339872044851463,11.084708484815879,5.780743515792329
CA-529,Lake County CoC,Rural,68152,604,88.6,781,29.3,53,29.3,3.4111477125153233,3.9889840465642745,11.129495783722676,6.403574197934815
CA-530,"Alpine, Inyo, Mono Counties CoC",Rural,33503,106,31.6,476,349.1,10,349.1,5.85821882796062,2.3978952727983707,10.419390266042402,4.663439094112067
CA-531,Nevada County CoC,Rural,102481,516,50.4,518,0.4,14,0.4,0.33647223662121295,2.70805020110221,11.537432694524568,6.246106765481563
CA-600,Los Angeles City & County CoC,Major City,9021778,71201,78.9,71483,0.4,3900,0.4,0.33647223662121295,8.268988209506656,16.01515199013033,11.173262142245258
CA-601,San Diego City and County CoC,Major City,3288774,10605,32.2,10726,1.1,2161,1.1,0.7419373447293773,7.6787889981991535,15.006025408915486,9.269080866998783
CA-602,"Santa Ana, Anaheim/Orange County CoC",Suburban,3165820,7322,23.1,6841,-6.6,407,6.6,2.028148247292285,6.0112671744041615,14.967922663732299,8.898638793680181
CA-603,Santa Maria/Santa Barbara County CoC,Suburban,443701,2119,47.8,1962,-7.4,136,7.4,2.128231705849268,4.919980925828125,13.002906191139534,7.6586995582682995
CA-604,Bakersfield/Kern County CoC,Major City,915075,2669,29.2,2437,-8.7,137,8.7,2.272125885509337,4.927253685157205,13.726761308111644,7.889459149404524
CA-606,Long Beach CoC,Major City,457650,3376,73.8,3618,7.2,1010,7.2,2.1041341542702074,6.918695219020472,13.033859978812925,8.124446855715847
CA-607,Pasadena CoC,Urban,138596,556,40.1,527,-5.2,601,5.2,1.824549292051046,6.400257445308821,11.83931850529262,6.320768294250582
CA-608,Riverside City & County CoC,Suburban,2478600,4249,17.1,4317,1.6,424,1.6,0.9555114450274363,6.052089168924417,14.72320444261291,8.354438940114811
CA-609,San Bernardino City & County CoC,Suburban,2197104,4255,19.4,4876,14.6,398,14.6,2.747270914255491,5.988961416889864,14.60265068752448,8.355850041007475
CA-611,"Oxnard, San Buenaventura/Ventura County CoC",Urban,837469,2358,28.2,2264,-4.0,104,4.0,1.6094379124341003,4.653960350157523,13.638139527070916,7.765569081097317
CA-612,Glendale CoC,Urban,190643,175,9.2,287,64.0,593,64.0,4.174387269895637,6.386879319362645,12.158157848115446,5.1647859739235145
CA-613,Imperial County CoC,Suburban,180202,1508,83.7,1168,-22.5,40,22.5,3.1570004211501135,3.713572066704308,12.101833722873918,7.318539548567902
CA-614,San Luis Obispo County CoC,Suburban,281555,1175,41.7,1579,34.4,96,34.4,3.5667118201397288,4.574710978503383,12.548083089360098,7.069023426578259
