coc_number,coc_name,article_count,article_location_relationship_count
CA-501,San Francisco CoC,4261,4526
CA-600,Los Angeles City & County CoC,3900,6106
CA-503,Sacramento City & County CoC,2437,2715
CA-601,San Diego City and County CoC,2161,2923
CA-502,"Oakland, Berkeley/Alameda County CoC",1239,1512
CA-606,Long Beach CoC,1010,1058
CA-607,Pasadena CoC,601,601
CA-612,Glendale CoC,593,593
CA-500,San Jose/Santa Clara City & County CoC,492,581
CA-608,Riverside City & County CoC,424,452
CA-602,"Santa Ana, Anaheim/Orange County CoC",407,645
CA-609,San Bernardino City & County CoC,398,501
CA-514,Fresno City & County/Madera County CoC,377,417
CA-511,Stockton/San Joaquin County CoC,265,327
CA-512,Daly City/San Mateo County CoC,251,324
CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",163,191
CA-506,"Salinas/Monterey, San Benito Counties CoC",162,187
CA-505,Contra Costa County CoC,156,157
CA-519,"Chico, Paradise/Butte County CoC",150,242
CA-604,Bakersfield/Kern County CoC,137,142
CA-603,Santa Maria/Santa Barbara County CoC,136,163
CA-507,Marin County CoC,129,155
CA-513,"Visalia/Kings, Tulare Counties CoC",123,147
CA-611,"Oxnard, San Buenaventura/Ventura County CoC",104,135
CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",100,123
CA-522,Humboldt County CoC,99,101
CA-614,San Luis Obispo County CoC,96,112
CA-510,"Turlock, Modesto/Stanislaus County CoC",91,161
CA-515,"Roseville, Rocklin/Placer County CoC",80,86
CA-524,Yuba City & County/Sutter County CoC,75,81
CA-508,Watsonville/Santa Cruz City & County CoC,63,125
CA-518,Vallejo/Solano County CoC,60,159
CA-523,"Colusa, Glenn, Trinity Counties CoC",59,61
CA-521,"Davis, Woodland/Yolo County CoC",56,74
CA-517,Napa City & County CoC,54,61
CA-529,Lake County CoC,53,53
CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",42,51
CA-613,Imperial County CoC,40,42
CA-525,El Dorado County CoC,39,41
CA-527,Tehama County CoC,30,37
CA-531,Nevada County CoC,14,28
CA-509,Mendocino County CoC,10,10
CA-530,"Alpine, Inyo, Mono Counties CoC",10,10
CA-520,Merced City & County CoC,8,8
