relationship_id,article_id,date,url,normalized_url,domain,publisher,title,description,language,author,gkg_record_id,location_type,location_name,country_code,adm1_code,adm2_code,latitude,longitude,feature_id,character_offset,gkg_location_source,coc_number,coc_name,coc_mapping_method
1,gdelt_gal_f0e692485bdeeb2695059c9b,2024-01-01 12:31:00+00:00,https://www.businessinsider.com/homeless-people-vancouver-universal-basic-income-2024-1,https://www.businessinsider.com/homeless-people-vancouver-universal-basic-income-2024-1,businessinsider.com,Business Insider,"Homeless people in Vancouver were given $5,500 cash, no strings attached. They used it to secure housing and even start saving.","Homeless people in Vancouver got a lump sum of $5,500, no strings attached. How they used the cash shows universal basic income alleviates poverty.",en,Lloyd Lee,20240101124500-1021,3,"Stockton, California, United States",US,USCA,CA077,37.9577,-121.291,1659872,278,GDELT GKG V2Locations,CA-511,Stockton/San Joaquin County CoC,gkg_point_in_coc
2,gdelt_gal_fd70f0fa99178921cf526f25,2024-01-01 14:00:50+00:00,https://www.sandiegouniontribune.com/news/homelessness/story/2024-01-01/more-homeless-people-are-asking-for-shelter-amid-san-diegos-camping-ban-many-dont-get-a-bed,https://www.sandiegouniontribune.com/news/homelessness/story/2024-01-01/more-homeless-people-are-asking-for-shelter-amid-san-diegos-camping-ban-many-dont-get-a-bed,sandiegouniontribune.com,San Diego Union-Tribune,More homeless people are asking for shelter amid San Diego's camping ban. Many don't get a bed.,"Data shows that 4 out of 5 requests to stay at facilities overseen by the city's Housing Commission fail, although spots remain open at safe sleeping sites.",en,,20240101144500-351,3,"San Diego, California, United States",US,USCA,CA073,32.7153,-117.157,1661377,347,GDELT GKG V2Locations,CA-601,San Diego City and County CoC,gkg_point_in_coc
3,gdelt_gal_fd70f0fa99178921cf526f25,2024-01-01 14:00:50+00:00,https://www.sandiegouniontribune.com/news/homelessness/story/2024-01-01/more-homeless-people-are-asking-for-shelter-amid-san-diegos-camping-ban-many-dont-get-a-bed,https://www.sandiegouniontribune.com/news/homelessness/story/2024-01-01/more-homeless-people-are-asking-for-shelter-amid-san-diegos-camping-ban-many-dont-get-a-bed,sandiegouniontribune.com,San Diego Union-Tribune,More homeless people are asking for shelter amid San Diego's camping ban. Many don't get a bed.,"Data shows that 4 out of 5 requests to stay at facilities overseen by the city's Housing Commission fail, although spots remain open at safe sleeping sites.",en,,20240101144500-351,3,"Balboa Park, California, United States",US,USCA,CA075,37.7249,-122.446,218563,961,GDELT GKG V2Locations,CA-501,San Francisco CoC,gkg_point_in_coc
4,gdelt_gal_fd70f0fa99178921cf526f25,2024-01-01 14:00:50+00:00,https://www.sandiegouniontribune.com/news/homelessness/story/2024-01-01/more-homeless-people-are-asking-for-shelter-amid-san-diegos-camping-ban-many-dont-get-a-bed,https://www.sandiegouniontribune.com/news/homelessness/story/2024-01-01/more-homeless-people-are-asking-for-shelter-amid-san-diegos-camping-ban-many-dont-get-a-bed,sandiegouniontribune.com,San Diego Union-Tribune,More homeless people are asking for shelter amid San Diego's camping ban. Many don't get a bed.,"Data shows that 4 out of 5 requests to stay at facilities overseen by the city's Housing Commission fail, although spots remain open at safe sleeping sites.",en,,20240101144500-351,3,"Point Loma, California, United States",US,USCA,CA073,32.7001,-117.247,247638,4056,GDELT GKG V2Locations,CA-601,San Diego City and County CoC,gkg_point_in_coc
5,gdelt_gal_24d15e2ac4a33c4fc2a4b64e,2024-01-01 20:00:00+00:00,https://timesofsandiego.com/opinion/2024/01/01/editorial-attack-on-sunbreak-ranch-a-slap-in-face-to-many-working-to-end-homelessness/,https://timesofsandiego.com/opinion/2024/01/01/editorial-attack-on-sunbreak-ranch-a-slap-in-face-to-many-working-to-end-homelessness,timesofsandiego.com,Times of San Diego,Opinion: Editorial Attack on Sunbreak Ranch a 'Slap in Face' to Many Working to End Homelessness,A recent newspaper editorial attacking Sunbreak Ranch is a slap in the face to hundreds of business and political leaders seeking a real solution to homlessness.,en,Casey Gwinn,20240101203000-650,3,"San Diego, California, United States",US,USCA,CA073,32.7153,-117.157,1661377,294,GDELT GKG V2Locations,CA-601,San Diego City and County CoC,gkg_point_in_coc
6,gdelt_gal_cb5627ccb21e636defdf2dea,2024-01-02 00:47:00+00:00,https://www.charlotteobserver.com/news/nation-world/national/article283722118.html,https://www.charlotteobserver.com/news/nation-world/national/article283722118.html,charlotteobserver.com,Charlotte Observer,More homeless people are asking for shelter amid San Diego’s camping ban. Many don’t get a bed,SAN DIEGO — It's a common refrain.,en,,20240102010000-273,3,"San Diego, California, United States",US,USCA,CA073,32.7153,-117.157,1661377,59,GDELT GKG V2Locations,CA-601,San Diego City and County CoC,gkg_point_in_coc
7,gdelt_gal_cb5627ccb21e636defdf2dea,2024-01-02 00:47:00+00:00,https://www.charlotteobserver.com/news/nation-world/national/article283722118.html,https://www.charlotteobserver.com/news/nation-world/national/article283722118.html,charlotteobserver.com,Charlotte Observer,More homeless people are asking for shelter amid San Diego’s camping ban. Many don’t get a bed,SAN DIEGO — It's a common refrain.,en,,20240102010000-273,3,"Balboa Park, California, United States",US,USCA,CA075,37.7249,-122.446,218563,1161,GDELT GKG V2Locations,CA-501,San Francisco CoC,gkg_point_in_coc
8,gdelt_gal_cb5627ccb21e636defdf2dea,2024-01-02 00:47:00+00:00,https://www.charlotteobserver.com/news/nation-world/national/article283722118.html,https://www.charlotteobserver.com/news/nation-world/national/article283722118.html,charlotteobserver.com,Charlotte Observer,More homeless people are asking for shelter amid San Diego’s camping ban. Many don’t get a bed,SAN DIEGO — It's a common refrain.,en,,20240102010000-273,3,"Point Loma, California, United States",US,USCA,CA073,32.7001,-117.247,247638,4240,GDELT GKG V2Locations,CA-601,San Diego City and County CoC,gkg_point_in_coc
9,gdelt_gal_70af9c2a5299fec65e72a612,2024-01-02 02:00:00+00:00,https://m.lasvegassun.com/news/2024/jan/02/attitudes-must-change-if-we-are-to-house-the-unhou/,https://m.lasvegassun.com/news/2024/jan/02/attitudes-must-change-if-we-are-to-house-the-unhou,m.lasvegassun.com,Las Vegas Sun,Attitudes must change if we are to house the unhoused,How does a society hellbent on punishing those it perceives as undeserving embrace legislation that just gives the “undeserving” money?,en,,20240103060000-406,3,"Venice Beach, California, United States",US,USCA,CA081,37.4797,-122.451,237043,1960,GDELT GKG V2Locations,CA-512,Daly City/San Mateo County CoC,gkg_point_in_coc
10,gdelt_gal_70af9c2a5299fec65e72a612,2024-01-02 02:00:00+00:00,https://m.lasvegassun.com/news/2024/jan/02/attitudes-must-change-if-we-are-to-house-the-unhou/,https://m.lasvegassun.com/news/2024/jan/02/attitudes-must-change-if-we-are-to-house-the-unhou,m.lasvegassun.com,Las Vegas Sun,Attitudes must change if we are to house the unhoused,How does a society hellbent on punishing those it perceives as undeserving embrace legislation that just gives the “undeserving” money?,en,,20240103060000-406,3,"San Francisco, California, United States",US,USCA,CA075,37.7749,-122.419,277593,3109,GDELT GKG V2Locations,CA-501,San Francisco CoC,gkg_point_in_coc
